movieCd,movieNm,showTm,actors,showTypes
20193450,반도,115,8,5
20193069,#살아있다,97,2,3
20204644,밤쉘: 세상을 바꾼 폭탄선언,108,3,1
20200162,소년시절의 너,135,1,1
20200845,비바리움,97,2,1
20191048,온워드: 단 하루의 기적,102,4,5
20209882,블루 아워,91,6,1
20183813,결백,110,11,2
20112561,원 데이,107,2,2
20201841,부활,110,0,1
20188364,맛있는 녀석들,98,0,2
19888010,시네마 천국,124,5,3
20209961,지저귀는 새는 날지 않는다,85,2,1
20208983,시라이,98,2,1
20201421,BIFAN2020 판타스틱 단편 걸작선 1,82,0,1
20200749,파리의 인어,102,0,1
20112703,다크 나이트 라이즈,164,5,4
20196201,소리꾼,118,15,1
20193263,너와 파도를 탈 수 있다면,95,4,1
20208182,그레텔과 헨젤,87,2,1
20179462,위대한 쇼맨,104,5,1
20081056,다크 나이트,152,7,5
20208617,인베이젼 2020,130,2,1
20200802,킬 스위치,91,2,1
20200836,트로이 디렉터스 컷,196,3,1
20200361,"아무튼, 아담",100,3,1
20200083,해피 디 데이,113,4,1
20196702,야구소녀,104,8,1
20200846,부산행:익스텐디드,120,9,3
20050112,배트맨 비긴즈,134,3,4
20193859,사라진 시간,104,7,1
20209644,엔딩스 비기닝스,110,3,1
20197863,침입자,102,7,2
20178522,콜 미 바이 유어 네임,131,5,1
20090161,슬럼독 밀리어네어,120,5,2
20208828,불량한 가족,102,2,1
20198890,아이즈 온 미 : 더 무비,104,12,3
20205481,에어로너츠,100,3,1
20209463,나의 첫 번째 슈퍼스타,113,2,1
20195483,에이브의 쿠킹 다이어리,86,2,1
20184842,아이 캔 온리 이매진,110,5,1
